,precision,recall,f1-score,support
береза,0.8541666666666666,0.5515695067264574,0.670299727520436,223.0
дуб,0.010309278350515464,0.03333333333333333,0.015748031496062992,30.0
ель,0.5555555555555556,0.2777777777777778,0.37037037037037035,72.0
клен,0.0,0.0,0.0,75.0
липа,0.5416666666666666,0.5252525252525253,0.5333333333333333,99.0
осина,0.30113636363636365,0.7681159420289855,0.4326530612244898,69.0
сосна,0.3611111111111111,0.37142857142857144,0.36619718309859156,35.0
accuracy,0.43449419568822556,0.43449419568822556,0.43449419568822556,0.43449419568822556
macro avg,0.37484937742669705,0.36106823664966436,0.3412288152918977,603.0
weighted avg,0.5270824925323052,0.43449419568822556,0.45122041373390753,603.0
