Уровень шума (%),Класс,Точность,Уверенность
0%,береза,1.000,0.998
0%,дуб,0.700,0.934
0%,ель,0.700,0.861
0%,клен,1.000,0.992
0%,липа,0.900,0.954
0%,осина,1.000,1.000
0%,сосна,1.000,0.998
1.0%,береза,1.000,0.998
1.0%,дуб,0.700,0.931
1.0%,ель,0.700,0.862
1.0%,клен,1.000,0.992
1.0%,липа,0.900,0.955
1.0%,осина,1.000,1.000
1.0%,сосна,1.000,0.998
5.0%,береза,1.000,0.999
5.0%,дуб,0.700,0.912
5.0%,ель,0.800,0.867
5.0%,клен,1.000,0.993
5.0%,липа,0.900,0.947
5.0%,осина,1.000,1.000
5.0%,сосна,1.000,0.997
10.0%,береза,1.000,0.998
10.0%,дуб,0.700,0.901
10.0%,ель,0.800,0.856
10.0%,клен,1.000,0.993
10.0%,липа,1.000,0.979
10.0%,осина,1.000,0.998
10.0%,сосна,1.000,0.997
