Образец,береза,дуб,ель,ель_голубая,ива,каштан,клен,клен_ам,липа,лиственница,орех,осина,рябина,сирень,сосна,тополь_бальзамический,тополь_черный,туя,черемуха,ясень
1,0.0000,0.0867,0.0042,0.0075,0.0536,0.0000,0.0000,0.0000,0.0479,0.0129,0.0017,0.0025,0.0000,0.0013,0.7306,0.0296,0.0000,0.0037,0.0000,0.0179
2,0.0000,0.0433,0.0235,0.0000,0.0121,0.0000,0.0000,0.0000,0.0300,0.0104,0.0100,0.0037,0.0050,0.0000,0.8357,0.0025,0.0063,0.0029,0.0000,0.0146
3,0.0000,0.0187,0.0357,0.0075,0.0183,0.0063,0.0000,0.0000,0.0025,0.0058,0.0037,0.0000,0.0000,0.0042,0.8805,0.0142,0.0000,0.0025,0.0000,0.0000
4,0.0000,0.0071,0.0079,0.0000,0.0213,0.0000,0.0000,0.0000,0.0000,0.0100,0.0025,0.0000,0.0000,0.0000,0.9221,0.0242,0.0033,0.0000,0.0000,0.0017
5,0.0000,0.0050,0.1156,0.0000,0.0154,0.0112,0.0000,0.0000,0.0000,0.0295,0.0000,0.0000,0.0075,0.0013,0.7723,0.0206,0.0000,0.0175,0.0000,0.0042
6,0.0000,0.0242,0.0383,0.0000,0.0287,0.0000,0.0000,0.0000,0.0112,0.0208,0.0092,0.0029,0.0000,0.0000,0.8458,0.0037,0.0000,0.0079,0.0000,0.0071
7,0.0000,0.0437,0.0054,0.0000,0.0033,0.0000,0.0000,0.0000,0.0221,0.0396,0.0000,0.0100,0.0000,0.0042,0.8488,0.0033,0.0196,0.0000,0.0000,0.0000
8,0.0000,0.0108,0.0392,0.0000,0.0050,0.0000,0.0000,0.0000,0.0042,0.0225,0.0000,0.0000,0.0150,0.0050,0.8671,0.0196,0.0033,0.0000,0.0000,0.0083
9,0.0000,0.0434,0.0042,0.0042,0.0000,0.0200,0.0050,0.0108,0.0504,0.0135,0.0000,0.0042,0.0000,0.0000,0.7877,0.0000,0.0362,0.0000,0.0204,0.0000
10,0.0000,0.0262,0.0142,0.0046,0.0129,0.0000,0.0000,0.0000,0.0050,0.0042,0.0000,0.0000,0.0000,0.0000,0.9242,0.0063,0.0000,0.0025,0.0000,0.0000
11,0.0000,0.0550,0.0075,0.0000,0.0092,0.0000,0.0000,0.0000,0.0300,0.0729,0.0000,0.0000,0.0000,0.0092,0.7717,0.0379,0.0000,0.0025,0.0000,0.0042
12,0.0000,0.0083,0.0125,0.0000,0.0054,0.0000,0.0000,0.0000,0.0042,0.0229,0.0000,0.0000,0.0000,0.0017,0.9337,0.0112,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0123,0.1131,0.0000,0.0092,0.0133,0.0000,0.0000,0.0088,0.0271,0.0013,0.0118,0.0025,0.0250,0.6996,0.0025,0.0025,0.0146,0.0000,0.0567
14,0.0000,0.0100,0.1652,0.0000,0.0050,0.0058,0.0000,0.0000,0.0136,0.1920,0.0000,0.0100,0.0025,0.0454,0.4668,0.0296,0.0000,0.0238,0.0000,0.0304
15,0.0000,0.0189,0.1632,0.0000,0.0000,0.0028,0.0000,0.1022,0.0160,0.0510,0.0000,0.0017,0.0000,0.0075,0.5061,0.0058,0.0852,0.0050,0.0204,0.0142
16,0.0000,0.0496,0.0152,0.0029,0.0037,0.0017,0.0025,0.0017,0.0125,0.0050,0.0063,0.0050,0.0000,0.0050,0.8532,0.0000,0.0317,0.0000,0.0042,0.0000
17,0.0000,0.0238,0.0261,0.0000,0.0054,0.0079,0.0000,0.0000,0.0308,0.0017,0.0096,0.0112,0.0000,0.0067,0.8272,0.0046,0.0175,0.0025,0.0000,0.0250
18,0.0000,0.0000,0.0150,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0000,0.9437,0.0173,0.0000,0.0063,0.0000,0.0000
19,0.0000,0.0050,0.0383,0.0000,0.0000,0.0017,0.0000,0.0000,0.0050,0.2413,0.0000,0.0000,0.0112,0.0054,0.6654,0.0154,0.0000,0.0042,0.0000,0.0071
20,0.0000,0.0661,0.0171,0.0000,0.0000,0.0000,0.0000,0.0050,0.0413,0.1344,0.0000,0.0154,0.0000,0.0088,0.6525,0.0282,0.0250,0.0000,0.0000,0.0063
21,0.0017,0.0142,0.0550,0.0067,0.0101,0.0025,0.0000,0.0000,0.0000,0.0521,0.0010,0.0000,0.0050,0.0050,0.6146,0.0425,0.0027,0.1771,0.0000,0.0100
22,0.0000,0.0529,0.0329,0.0000,0.0050,0.0000,0.0000,0.0000,0.0117,0.1367,0.0000,0.0067,0.0000,0.0013,0.7312,0.0167,0.0000,0.0050,0.0000,0.0000
23,0.0000,0.0200,0.0437,0.0057,0.0000,0.0000,0.0000,0.0000,0.0025,0.0279,0.0000,0.0000,0.0000,0.0150,0.8764,0.0013,0.0075,0.0000,0.0000,0.0000
24,0.0000,0.0292,0.0037,0.0000,0.0000,0.0017,0.0000,0.0121,0.0292,0.0685,0.0000,0.0050,0.0000,0.0063,0.8007,0.0108,0.0071,0.0000,0.0117,0.0142
25,0.0000,0.0206,0.0450,0.0000,0.0050,0.0000,0.0000,0.0000,0.0075,0.0850,0.0000,0.0067,0.0000,0.0207,0.8029,0.0050,0.0000,0.0000,0.0000,0.0017
26,0.0000,0.0121,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0283,0.1840,0.0000,0.0063,0.0033,0.0042,0.7327,0.0063,0.0025,0.0017,0.0000,0.0000
27,0.0000,0.0179,0.0175,0.0000,0.0467,0.0025,0.0050,0.0000,0.0146,0.0104,0.0017,0.0000,0.0050,0.0000,0.8346,0.0125,0.0000,0.0017,0.0000,0.0300
28,0.0000,0.0110,0.0195,0.0024,0.0000,0.0000,0.0000,0.0050,0.0039,0.0439,0.0000,0.0000,0.0000,0.0075,0.8670,0.0000,0.0064,0.0000,0.0242,0.0092
29,0.0000,0.0418,0.0025,0.0000,0.0000,0.0100,0.0000,0.0000,0.0042,0.0037,0.0000,0.0033,0.0000,0.0050,0.9071,0.0000,0.0132,0.0000,0.0017,0.0075
30,0.0017,0.0747,0.0063,0.0075,0.0033,0.0000,0.0000,0.0000,0.0133,0.0104,0.0050,0.0155,0.0000,0.0050,0.8168,0.0000,0.0342,0.0000,0.0050,0.0013
